Datetime,CanopyTemp, 
22/12/2015 9:50,27.99, 
22/12/2015 9:55,28.1, 
22/12/2015 10:00,28.29, 
22/12/2015 10:05,28.28, 
22/12/2015 10:10,28.31, 
22/12/2015 10:15,28.9, 
22/12/2015 10:20,28.96, 
22/12/2015 10:25,29.57, 
22/12/2015 10:30,30.4, 
22/12/2015 10:35,29.18, 
22/12/2015 10:40,28.65, 
22/12/2015 10:45,28.26, 
22/12/2015 10:50,29.76, 
22/12/2015 10:55,29.9, 
22/12/2015 11:00,30.39, 
22/12/2015 11:05,30.77, 
22/12/2015 11:10,30.8, 
22/12/2015 11:15,30.81, 
22/12/2015 11:20,30.39, 
22/12/2015 11:30,29.68, 
22/12/2015 11:35,29.13, 
22/12/2015 11:40,29.22, 
22/12/2015 11:45,29.03, 
22/12/2015 11:50,29.23, 
22/12/2015 11:55,29.98, 
22/12/2015 12:00,30.96, 
22/12/2015 12:05,32.07, 
22/12/2015 12:10,34.09, 
22/12/2015 12:15,34.98, 
22/12/2015 12:20,34.18, 
22/12/2015 12:25,33.98, 
22/12/2015 12:30,34.57, 
22/12/2015 12:35,33.74, 
22/12/2015 12:40,32.85, 
22/12/2015 12:45,32.59, 
22/12/2015 12:50,33.64, 
22/12/2015 12:55,34.8, 
22/12/2015 13:00,34.61, 
22/12/2015 13:05,32.82, 
22/12/2015 13:10,32.91, 
22/12/2015 13:15,33.04, 
22/12/2015 13:20,31.98, 
22/12/2015 13:25,32.29, 
22/12/2015 13:30,32.48, 
22/12/2015 13:35,31.94, 
22/12/2015 13:40,32.06, 
22/12/2015 13:45,32.11, 
22/12/2015 13:50,32.29, 
22/12/2015 13:55,31.99, 
22/12/2015 14:00,30.76, 
22/12/2015 14:05,29.84, 
22/12/2015 14:10,30.34, 
22/12/2015 14:15,29.42, 
22/12/2015 14:20,29.42, 
22/12/2015 14:25,28.76, 
22/12/2015 14:30,28.89, 
22/12/2015 14:35,27.99, 
22/12/2015 14:40,27.81, 
22/12/2015 14:45,27.84, 
22/12/2015 14:50,27.47, 
22/12/2015 14:55,27.39, 
22/12/2015 15:00,26.19, 
22/12/2015 15:05,25.52, 
22/12/2015 15:10,24.98, 
22/12/2015 15:15,24.68, 
22/12/2015 15:20,24.39, 
22/12/2015 15:25,24.27, 
22/12/2015 15:30,24.22, 
22/12/2015 15:35,24.35, 
22/12/2015 15:40,24.71, 
22/12/2015 15:45,25.27, 
22/12/2015 15:50,25.64, 
22/12/2015 15:55,25.62, 
22/12/2015 16:00,25.06, 
22/12/2015 16:05,24.62, 
22/12/2015 16:10,24.25, 
22/12/2015 16:15,24.18, 
22/12/2015 16:20,24.73, 
22/12/2015 16:25,24.78, 
22/12/2015 16:30,24.74, 
22/12/2015 16:35,25.08, 
22/12/2015 16:40,25.38, 
22/12/2015 16:45,25.34, 
22/12/2015 16:50,25, 
22/12/2015 16:55,25.03, 
22/12/2015 17:00,24.96, 
22/12/2015 17:05,24.66, 
22/12/2015 17:10,24.59, 
22/12/2015 17:15,24.2, 
22/12/2015 17:20,24.07, 
22/12/2015 17:25,23.91, 
22/12/2015 17:30,24.34, 
22/12/2015 17:35,25.16, 
22/12/2015 17:40,24.85, 
22/12/2015 17:45,24.77, 
22/12/2015 17:50,24.58, 
22/12/2015 17:55,24.24, 
22/12/2015 18:00,24.16, 
22/12/2015 18:05,23.97, 
22/12/2015 18:10,24.09, 
22/12/2015 18:15,23.46, 
22/12/2015 18:20,23.38, 
22/12/2015 18:25,23.26, 
22/12/2015 18:30,23.16, 
22/12/2015 18:35,22.99, 
22/12/2015 18:40,22.72, 
22/12/2015 18:45,22.58, 
22/12/2015 18:50,22.45, 
22/12/2015 18:55,22.44, 
22/12/2015 19:00,22.28, 
22/12/2015 19:05,22.33, 
22/12/2015 19:10,22.08, 
22/12/2015 19:15,21.98, 
22/12/2015 19:20,21.8, 
22/12/2015 19:30,21.4, 
22/12/2015 19:35,21.48, 
22/12/2015 19:40,21.19, 
22/12/2015 19:45,21, 
22/12/2015 19:50,21, 
22/12/2015 19:55,20.91, 
22/12/2015 20:00,20.74, 
22/12/2015 20:05,20.57, 
22/12/2015 20:10,20.55, 
22/12/2015 20:15,20.62, 
22/12/2015 20:20,20.63, 
22/12/2015 20:25,20.64, 
22/12/2015 20:30,20.67, 
22/12/2015 20:35,20.58, 
22/12/2015 20:40,20.61, 
22/12/2015 20:45,20.66, 
22/12/2015 20:50,20.52, 
22/12/2015 20:55,20.52, 
22/12/2015 21:00,20.51, 
22/12/2015 21:05,20.49, 
22/12/2015 21:10,20.41, 
22/12/2015 21:15,20.37, 
22/12/2015 21:20,20.4, 
22/12/2015 21:30,20.42, 
22/12/2015 21:35,20.44, 
22/12/2015 21:40,20.37, 
22/12/2015 21:45,20.46, 
22/12/2015 21:50,20.5, 
22/12/2015 21:55,20.4, 
22/12/2015 22:00,20.37, 
22/12/2015 22:05,20.37, 
22/12/2015 22:15,20.3, 
22/12/2015 22:20,20.37, 
22/12/2015 22:25,20.39, 
22/12/2015 22:30,20.41, 
22/12/2015 22:35,20.39, 
22/12/2015 22:40,20.3, 
22/12/2015 22:45,20.21, 
22/12/2015 22:50,20.25, 
22/12/2015 22:55,20.25, 
22/12/2015 23:00,20.33, 
22/12/2015 23:05,20.42, 
22/12/2015 23:10,20.39, 
22/12/2015 23:15,20.52, 
22/12/2015 23:20,20.46, 
22/12/2015 23:25,20.46, 
22/12/2015 23:30,20.45, 
22/12/2015 23:35,20.39, 
22/12/2015 23:40,20.36, 
22/12/2015 23:45,20.35, 
22/12/2015 23:50,20.36, 
22/12/2015 23:55,20.39, 
23/12/2015 0:00,20.38, 
23/12/2015 0:05,20.29, 
23/12/2015 0:10,20.11, 
23/12/2015 0:15,20.03, 
23/12/2015 0:20,20, 
23/12/2015 0:25,20.09, 
23/12/2015 0:30,20.24, 
23/12/2015 0:35,20.3, 
23/12/2015 0:40,20.37, 
23/12/2015 0:45,20.41, 
23/12/2015 0:50,20.41, 
23/12/2015 0:55,20.48, 
23/12/2015 1:00,20.46, 
23/12/2015 1:05,20.52, 
23/12/2015 1:10,20.5, 
23/12/2015 1:15,20.5, 
23/12/2015 1:20,20.46, 
23/12/2015 1:25,20.45, 
23/12/2015 1:30,20.49, 
23/12/2015 1:35,20.51, 
23/12/2015 1:40,20.49, 
23/12/2015 1:45,20.48, 
23/12/2015 1:50,20.48, 
